targetbvdidnumber;targetname;company;Title_link;date;Title;mainText;pros;cons;reply;helpfulReviews;authorInfo;authorInfo1;authorLocation;minor;middle;outlook;CEO;recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW6802063.htm;June 4, 2015;"""Culture of Greed, deception and favoritism""";I worked at MDVIP;The building is very nice.;Complete dysfunction in upper and middle level management. Egos make decisions and employees suffer. Favoritism is requisite from promoting from within. Even if you are extremely qualified, you will not be allowed to move up because of deep-set cliques among management;;Helpful (8);in Boca Raton, FL;;Boca Raton, FL;;;;;Doesn't Recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW6029396.htm;March 2, 2015;"""Great Company. Loved the work.""";I worked at MDVIP part-time for less than a year;Great supervisors, great work decent pay. Good support from corporate office. Fun people to work with and they were encouraging. If you like personal sales this is a great position. They did everything they said they would and more.;It is temporary. After the assignment ended I applied for over 30 more positions and have yet to get a single response., positive or negative. I did  a very good job for them but think they don't want to pay for the travel.;;Helpful (5);in Midland, TX;;Midland, TX;;;;;Doesn't Recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW6061028.htm;March 6, 2015;"""Heavy Micromanagement of sales teams""";I have been working at MDVIP full-time for more than a year;MDVIP is doing something good for physicians.;"High turnover in sales. They drive talented people away through their heavy reliance on micromanagement.
Unqualified sales management.";;Helpful (10);;;;;;;;Doesn't Recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW5889847.htm;February 10, 2015;"""MDVIP""";I have been working at MDVIP;They go above and beyond what the traditional primary care practice offers.;Management could use some extra project developers.;;Helpful (2);;;;;;;;
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW5575392.htm;December 21, 2014;"""General Review""";I have been working at MDVIP;Corporate environment,  clean building, good area.;Lack of structure.  No investment in the front lines,  or lack of guidance.  All departments work in silos.;;Helpful (3);;;;;;;;Doesn't Recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW5171968.htm;October 15, 2014;"""Sales career""";I worked at MDVIP full-time for more than 3 years;It's the most rewarding job I've had . You are really changing physicians lives . You will find out really quickly whether you're any good at sales. You need to be driven a hard working and a true consultant . You will learn a lot about yourself and sales . It took me to a completely different level. Great financial opportunity if you can really sell - a lot of people are killing it. The key. To this job is building trust. So the doctor will take your advice . This company has many of the best sales people have  ever worked with . It's fun hard driving and rewards success.;"If you have been faking it in other jobs don't do this - you have to be prepared to leave your pride at the door and re learn sales. If you are a relationship seller this job is not for you. Its a very complex sale when you get into it - if you aren't a challenger sale ( read the book ) you will feel left out in the cold like some of the other posts on this board. It's a tough job with opportunity but you have to work it. If you don't like travel and dining out don't touch it you will work a lot of nights as it's the 
only time you can usually see the doc";;Helpful (9);;;;;;;;Recommends
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW5225273.htm;October 22, 2014;"""Patient Advocate role great if willing to travel, flexible, strong sales skills""";I have been working at MDVIP full-time for more than a year;Opportunity to travel (very frequently), lots of great training provided by company. You're working pretty independently from supervisors but still have lots of support from your company. Company extends great benefits to all employees, even temporary employees.;You are traveling for an average of 16 weeks at a time, allowed to go home on average only every other weekend, so it can be straining on your personal/home life.  Also. the job is per assignment, so you are not necessarily a FT direct employee.;;Helpful (5);in Columbia, MO;;Columbia, MO;;;;;Recommends
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW4345003.htm;June 4, 2014;"""don't do it everything that appears in interview is not real""";I worked at MDVIP full-time for more than 3 years;learned a lot about the medical industry and made great connections with doctor's offices;poor management a lot of favoritism too many chiefs not enough indians;;Helpful (7);in Boca Raton, FL;;Boca Raton, FL;;;;;Doesn't Recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW4232245.htm;May 15, 2014;"""Terrible for people with families!!!""";I have been working at MDVIP full-time for more than a year;Travel can be nice some times!;You are gone constantly! No life ever!;;Helpful (2);;;;;;;;Doesn't Recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW4078373.htm;April 17, 2014;"""BEWARE WHO YOU WORK WITH""";I worked at MDVIP full-time for more than a year;When I first worked there, they were friendly and eager to help you. you are welomed with kindness.;company review is very unfair, they base everything on favoritism.;;Helpful (4);in Boca Raton, FL;;Boca Raton, FL;;;;;Doesn't Recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW3406390.htm;December 10, 2013;"""Great Company""";I have been working at MDVIP full-time for more than a year;Integrity, Innovation, Passion, Leadership, Trust;Not enough career advancement opportunities for management.;;Helpful (1);;;;;;;;Recommends
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW3044650.htm;September 12, 2013;"""Associate Director Physician Development""";I have been working at MDVIP  for less than a year;Interesting sales process however all controlled by Boca and ATL Mafia Team.;They over way over sell the opportunity (income) here.  The fact is only a handful make any money.  You'll work 24/7, never get any positive feedback,  or support with territory obstacles ( YOU are the problem and ALL Territory's are equal BS).  Turnover is so frequent.;;Helpful (5);;;;;;;;Doesn't Recommend
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW2074912.htm;October 23, 2012;"""good place to work at""";I have been working at MDVIP full-time;"Empowered employees
Good managers
Good work life balance";"low / not up to par salaries
divide between MDVIP and P&G employees (a p&g subsidiary) - gets too political
not much career growth opportunities";;Helpful (1);;;;;;;;
US131446594L;mdvip inc.;mdvip;https://www.glassdoor.com/Reviews/Employee-Review-MDVIP-RVW1320172.htm;February 4, 2012;"""Fantastic!""";I have been working at MDVIP;MDVIP is a great company to work for. Employees receive fantastic benefits and perks and upper management does something that appears to be virtually a novelty in thousands of companies across America today - they actually listen! The company is 100% committed to MDVIP members and the employees who have made it the tremendous success it is today. The work atmosphere is professional, yet fun. There are monthly corporate luncheons and lots of perks and opportunities for advancement for employees. This is truly one of the better companies to work for in South Florida.;Upper management could do more in the way of recognizing accomplishments of employees who interface directly with prospective and current MDVIP members. The company is careful not to promote an atmosphere of über competitiveness but it can definitely do more to highlight the accomplishments and contributions of those on the front line.;;Helpful (3);in Boca Raton, FL;;Boca Raton, FL;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW22582634.htm;September 20, 2018;"""Morgan Keegan""";I worked at Morgan Keegan full-time for more than 10 years;Great people - originally a Memphis based company;Brokerage industry with weak upper management;;;Former Employee - Managing Director;in Memphis, TN;Memphis, TN;;;Negative Outlook;Disapproves of CEO;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW30030216.htm;October 26, 2019;"""Good firm""";I worked at Morgan Keegan;Good entrepreneurial culture  and good people;Not a coherent strategy across industry groups;;;;;;;;Neutral Outlook;No opinion of CEO;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW16579578.htm;August 29, 2017;"""Outstanding Employer""";I worked at Morgan Keegan full-time for more than 10 years;Great team work environment. Outstanding peers and supervisors.;Not much to say. You have to pay for your downtown parking;;;Former Employee - Network Engineer;in Memphis, TN;Memphis, TN;;;Negative Outlook;No opinion of CEO;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW13606690.htm;February 2, 2017;"""A typical banking job""";I worked at Morgan Keegan full-time;Nice enough coworkers in the operations area.;Not a lot of room for growth.;;;Former Employee - Anonymous Employee;;;;;;;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW11668253.htm;August 24, 2016;"""Morgan Keegan IT""";I worked at Morgan Keegan full-time for more than 10 years;was a great place to work;it was a good ole' boys club not what you know but who. bought by Raymond James and IT was taken apart piece by piece;;;Former Employee - Anonymous Employee;in Memphis, TN;Memphis, TN;;;;;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW11184208.htm;July 9, 2016;"""Great Company""";I worked at Morgan Keegan  for more than a year;Great culture and work experience;equity business is a tough business;;;Managing Director;in Fort Myers, FL;Fort Myers, FL;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW11316072.htm;July 21, 2016;"""Post Issue Annuity Processor""";I worked at Morgan Keegan full-time for more than a year;"small department
benefits start day of hire
pto starts day of hire
clean offices
downtown memphis";"low salary
catty work environment
not enough to do after submitting work
too much bureacracy";;;Former Employee - Anonymous Employee;in Memphis, TN;Memphis, TN;;;;;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW10716931.htm;May 24, 2016;"""ECM-research""";I worked at Morgan Keegan;"Quality senior analysts; great place to train as an associate (CFA sponsorship, management/senior analysts were actively involved in associate development/mentoring); low turnover";"Good ol' boys network; low salaries for associates; some leadership issues/complacency with status quo";;;;;;;;;;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW8872870.htm;December 9, 2015;"""Manager""";I worked at Morgan Keegan;Good People, opportunity to prosper;Mean business, is changing to fast and is to litigious;;;;;;;;;;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW7977672.htm;September 16, 2015;"""Great Place""";I worked at Morgan Keegan full-time for more than 10 years;This was one of the best companies to work at HQ's in Memphis. I was there for 21+ years;Purchased by Raymond James ...;;;Former Employee - Information Security Manager;in Memphis, TN;Memphis, TN;;;Negative Outlook;Approves of CEO;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW7591761.htm;August 15, 2015;"""PR Specialist""";I worked at Morgan Keegan full-time for less than a year;Morgan Keegan is employed with great people, and it was a very fun place to work. There were many different employment opportunities and room for growth.  Great company outings and meetings.;My position was to slow-paced and I seemed to be very bored throughout the day. I would have liked working there if I had been more busy with my work throughout the day. I also felt like it was not a very flexible job.  It was strictly 8-5, which is not very good to raise a family;;;Former Employee - Anonymous Employee;in Memphis, TN;Memphis, TN;;;;;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW6052479.htm;March 5, 2015;"""don't rock the boat, or you'll be gone""";I worked at Morgan Keegan full-time for more than 3 years;Located in Memphis, where it is cheap to live;Located in Memphis, where it is also dangerous to live;;;Former Employee - Anonymous Employee;in Memphis, TN;Memphis, TN;;;Neutral Outlook;Disapproves of CEO;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW4767769.htm;August 12, 2014;"""Good, albeit  disjointed company""";I worked at Morgan Keegan full-time for more than a year;Good culture.  The people were great.  The work-life balance, at least in my department was really good.  It was relatively low stress while I was there.  I enjoyed my co-workers.  Senior manager was very nice, although I didn't get the feeling they knew exactly what they were doing.;Seemed very chaotic and unorganized.  Upper management took a good old boy approach it seemed.;;;Former Employee - Compliance Associate;in Memphis, TN;Memphis, TN;;;Neutral Outlook;Approves of CEO;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW4197978.htm;May 9, 2014;"""Great place to work""";I worked at Morgan Keegan full-time for more than a year;great office culture, awesome co-workers, excellent salary;they were merged with Raymond James (who doesn't offer the same culture and/or policies);;;Former Employee - Corporate Communications;in Memphis, TN;Memphis, TN;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW4133812.htm;April 28, 2014;"""Good place to start your tech career""";I have been working at Morgan Keegan;"Decent pay for entry level tech work. 
7 1/2 hour days compared to a normal 8
Not a stressful job, lots of calls but very rarely did you get rude people on the other end";"Barely any room to move up in the company
No parking garage for employees, have to pay for parking";;;;;;;;Positive Outlook;Approves of CEO;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW3994745.htm;April 3, 2014;"""Morgan Keegan & Company, Inc.""";I worked at Morgan Keegan full-time for more than a year;Good company, good people.  A great learning environment if new to a brokerage firm.  Allows you to see what areas of the business you like and dislike.;Career Advancement is tough.  Each department is like a different firm.  Tough to network w/o stepping on toes.  More of who you know and not what you know.;;;Former Employee - Anonymous Employee;;;;;Neutral Outlook;Approves of CEO;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW3866981.htm;March 13, 2014;"""It was overall positive but needed to be a little more progressive on finding new ways to do business.""";I worked at Morgan Keegan;Hours were not bad.  Generally friendly people.;Living in Memphis.  A lot more payout goes to salesmen rather than bankers.;;;;;;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW3711377.htm;February 16, 2014;"""Third tier investment banking operation.""";I worked at Morgan Keegan full-time for more than a year;CEO has made a number of acquisitions to grow the investment banking practice;poor compensation, cumbersome expense policy,  below market health care benefits and 401k options.;;;Former Employee - Analyst;;;;;Negative Outlook;Approves of CEO;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW3186140.htm;October 15, 2013;"""ok company""";I worked at Morgan Keegan full-time for more than a year;you will make decent money but there is a lot of bureaucracy and passive aggressive managers. make sure you get in well with the top people to ensure success;it can be difficult to avoid certain people on a daily basis.  you might constantly be put on deal teams with the same person that you dont like. there is nothing you can do about it;;;Former Employee - Analyst;;;;;;;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW3062448.htm;September 17, 2013;"""Intern""";I worked at Morgan Keegan;Good people and team to work with and have many opportunities to learn a lot things. Gained very good experiences;Really did not see any downsides and did not have anything to complain. I really cannot say anything about it.;;;;;;;;;;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW2917152.htm;August 9, 2013;"""Was a great place to work""";I worked at Morgan Keegan full-time for more than a year;Work environment, Pay, Friendly atmosphere, independence;Sold to another company and entire company changed;;;Former Employee - 1stVP;in Memphis, TN;Memphis, TN;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW2768688.htm;June 25, 2013;"""My experience at Morgan Keegan""";I have been working at Morgan Keegan;"Excellent Work Environment; friendly support; prestigious firm; amicable employees";The salary at Morgan Keegan is not as competitive as other firms domestically and internationally.;;;;;;;;;;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW2507580.htm;March 27, 2013;"""An enlightening experience with great people.""";I worked at Morgan Keegan;Fantastic work environment, good experience in the field, and a BIG plus on anyone's resume. Would definitely recommend this business to others.;I don't have a single con with this company. I had a great experience with them and I hope to do business with them in the future.;;;;;;;;Positive Outlook;Approves of CEO;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW2286047.htm;January 16, 2013;"""Well paid associate position to compensate for lack of work life balance""";I worked at Morgan Keegan full-time for less than a year;Great pay vs. peers. Base in the six figures, though benefits were basic.;Worked every day. Channel check reports on Saturdays and Barron's summaries on Sundays.;;;Former Employee - Equity Research Associate;in New York, NY;New York, NY;;;;;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW2115738.htm;November 7, 2012;"""Great company to work for!""";I have been working at Morgan Keegan full-time for more than 3 years;Great team and people.  Felt I could speak to any member of the executive team.;Honestly, nothing that isn't different than any other company - could not think of one thing specifically.;;;Current Employee - Associate Equity Analyst;in Memphis, TN;Memphis, TN;;;Neutral Outlook;Approves of CEO;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW2002656.htm;September 29, 2012;"""A google search of Morgan Keegan and Fraud will tell you everything you need to know""";I worked at Morgan Keegan full-time for more than 5 years;Really nice family of people, lots of group get togethers and team building. Plenty of smart hard working people. Excellent equity research and fixed income trading as these two areas reward results rather than family/college ties.;"The culture rewards thinking inside the box and easy profits at the expense of mom and pop savers. Lots of dead weight in management with frat brothers and cousins of big time salesmen getting to coast. In a meeting the CEO said that Nepotism is a policy. 

Less than half the profit margin of the average publicly traded brokerage";;;Former Employee - Anonymous Employee;in Memphis, TN;Memphis, TN;;;Negative Outlook;Disapproves of CEO;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1467315.htm;April 25, 2012;"""Love working here.  Raymond James ruining the culture.""";I have been working at Morgan Keegan;Great downtown location.  Wonderful people.  Caring management.;"Raymond James now owns us.  I understand companies get bought and sold and dismantled in the process.  RJF obviously has no idea how to handle such a large acquisition and are blindly feeling their way around while providing no employees, MK or RJ, any type of end goal.  Lots of comments like ""might have a job for you in year"", etc.";;;Vice President;in Memphis, TN;Memphis, TN;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1421303.htm;April 2, 2012;"""Great Firm""";I have been working at Morgan Keegan;Good resources, name, and opportunities.;Success depends highly on the office you work in.;;;Financial Advisor;in Houston, TX;Houston, TX;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1354906.htm;February 22, 2012;"""Laid back environment working alone on most projects.""";I have been working at Morgan Keegan;They have a good pay and the IT dept is relaxed and you can usually do your own thing.;"Project management is a joke as usual in most companies. They mainly 
Adage meetings with each other.";;;Programmer;in Memphis, TN;Memphis, TN;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1332438.htm;February 10, 2012;"""Great place to work""";I have been working at Morgan Keegan;"Great work life balance
Plenty of advancement opportunities
Excellent pay";"OK benefits
Paying for Parking? (it's downtown)";;;IT Developer;in Memphis, TN;Memphis, TN;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1293217.htm;January 20, 2012;"""Great work environment but opportunities for growth need improvement""";I have been working at Morgan Keegan;"*Flexible work schedule
*Easy-going work environment
*Management is understanding when you need time off
*You're allowed to solve problems the best way you see fit";"*There's very little opportunity for growth unless you know the right people
*The company is willing to pay a fair-market salary to those they're hiring outside the firm, but they're not willing to bump salaries to fair-market value for those within the firm.  The adage ""you've gotta move out to move up"" holds true here.";;;Web Applications Developer;in Memphis, TN;Memphis, TN;;;;No opinion of CEO;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1235254.htm;December 11, 2011;"""Was a great place to work at one time...""";I worked at Morgan Keegan;Pay is better than most corporate jobs in Memphis.  There is a very friendly, family atmosphere at the company and general sense of camaraderie among employees.  Most managers are very understanding regarding time-off and family emergencies.;Better pay comes at a heavy price...There are very few opportunities for professional development and career advancement if you are not a financial adviser.  Those in administrative positions are often treated like dogs by advisers and management.  Current leadership is woefully indecisive and behind the times.  Direction of projects is either non-existent or changes at the whim of who has the most clout at the time.  There is a general lack of direction and leadership from the top to the bottom of this company.;;;;in Memphis, TN;Memphis, TN;;;;Approves of CEO;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1221788.htm;December 1, 2011;"""Limited growth potential""";I have been working at Morgan Keegan;Location is great and employees are pretty friendly. Management is competent. There is always someone who is willing to help out.;Must pay for parking downtown. Not much room for growth and the salaries provided are well below average in the industry.;;;Operations;in Memphis, TN;Memphis, TN;;;;No opinion of CEO;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1159359.htm;October 18, 2011;"""Fantastic""";I have been working at Morgan Keegan;They allow you to be your own advisor, no pushy tactics.;Health ebenfits can be better.;;;Financial Advisor;in Rockville, MD;Rockville, MD;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1127559.htm;September 27, 2011;"""Very satisfactory""";I have been working at Morgan Keegan;Opportunity for exposure for all aspects of the financial market.;Small scale bank sometimes unable to compete with the big dogs.;;;;in New Orleans, LA;New Orleans, LA;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1046587.htm;August 2, 2011;"""Great place to work!""";I have been working at Morgan Keegan;Family-like environment.  The senior management makes a special effort to relate, and interact with employees on every level.  I can see myself working here my entire career.;The only downside is the compensation for an entry level salary is slightly lower than similar firms.  Semi-annual bonuses compensate for the lower salary.;;;Portfolio Accountant;in Memphis, TN;Memphis, TN;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW924968.htm;May 4, 2011;"""great work environment for regional firm""";I have been working at Morgan Keegan;"great resources; ethical advisors; great entry level job to the financial world";limited advancement unless your looking to become and advisor;;;;in Orlando, FL;Orlando, FL;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW848981.htm;March 12, 2011;"""Educational""";I have been working at Morgan Keegan;Great Experience. Have a lot of exposure to senior employees of the firm because it is a very small firm.;Low compensation, struggling to balance the costs of living in a town like San Francisco on a low intern salary.;;;Intern;in San Francisco, CA;San Francisco, CA;;;;Approves of CEO;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW778023.htm;January 18, 2011;"""Decent""";I worked at Morgan Keegan;If you make it to the top they compensate will. Friendly and fun work environment. Not a fan of memphis though..;You have to know someone to get a good position...hard work will only go so far. The good sales jobs go to the guys who born into it.;;;Trader;in Memphis, TN;Memphis, TN;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW619394.htm;August 21, 2010;"""Okay""";I have been working at Morgan Keegan;Good operations managment, flexible manager, good hours;poor salaries, no advancement or growth, stagnant atmosphere;;;Sales;in Memphis, TN;Memphis, TN;;;;;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW537936.htm;June 20, 2010;"""I guess I should not be surprised.""";I have been working at Morgan Keegan;A chance to work with a market mover and one of the most stable financial organizations.  Hoping to learn from others and be involved with the major market movers and decision makers.;Management is very hierarchical and rigid in organization.  Managers worship their superiors, respect their peers and look down upon their underlings.  Software is looked down upon as a necessary evil and not in their interest.  Southern good old boys network.;;;Developer;in Memphis, TN;Memphis, TN;;;;;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW379575.htm;January 27, 2010;"""A summer in downtown austin""";I worked at Morgan Keegan;Best experience you can get without having to go to a financial center (NYC, Chicago, Houston, Dallas). Very easy-going, slow-paced, and easy to learn, but still get lots of info and experience.;The prestige level is not too high. There's not too much need for work, so I spent a lot of time sitting around the office.;;;Summer Fixed Income Analyst;in Austin, TX;Austin, TX;;;;Approves of CEO;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW278993.htm;September 1, 2009;"""Financial Advisor for Morgan Keegan""";I have been working at Morgan Keegan;you are allowed to work independently  you are not mandated to sell certain investments  you are given leaway as to how to run your business  good technology and research;not much support in beginning your practice-bank leads are minimal sometimes you feel alone and left to fend for yourself while other advisors are prospering;;;Financial Consultant;in Pensacola, FL;Pensacola, FL;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW248844.htm;July 7, 2009;"""Confusion based on job title, job experience.""";I have been working at Morgan Keegan;Decent benefits.  Decent salary.  Nice people.  No real complaints.  The work is easy and can sometimes be interesting.  They seem to recognize, at least in my department, when people are doing good jobs and when they are not.;My biggest complaint is that people who have less job experience, less education, and less intelligence period are being compensated at or above the same level as someone who has several years of experience and a degree from a top undergraduate school.  It makes the person who is more educated and has more experience feel like they are not valued as much.;;;;in Memphis, TN;Memphis, TN;;;;;Recommends
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW131629.htm;December 11, 2008;"""Interns view of the company.""";I have been working at Morgan Keegan;I am only an intern currently, so Im not sure what the best reasons to work for Morgan Keegan really are. They only throw me 8.25 an hour to file reports endlessly;Like i said, only 8.25 an hour for a senior finance major at respectable university.  They dont go out of their way to try to give me any challenging tasks, and treat me like secretary. I really just want to learn something valuable for when I actually enter the workforce. I have no doubt that the staff there would be happy to give me a good reference, but they really arent focused on developing new talent.;;;Intern;in Nashville, TN;Nashville, TN;;;;No opinion of CEO;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW58218.htm;August 17, 2008;"""The Regions decline will eventually hit here, too""";I worked at Morgan Keegan;A paycheck, job experience, and conflict resolution experience.;See the survey.  The work environment completely depends on who your supervisor is.  You can sit right beside someone and have a totally different experience than them (time off, pay, reviews, etc) simply based on having a different supervisor in the same department.  There is a lack of direction for supervisors and how they manage employees.;;;Administrative;;;;;;;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW4787410.htm;August 15, 2014;"""Intern""";I worked at Morgan Keegan;Good place to learn the basics of the business.  Nice people.;Was an unpaid internship, only negative;;;;;;;;;;
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1429840.htm;April 6, 2012;"""neutral""";I have been working at Morgan Keegan;It allows me to develop my skills/talent.;Does not compensate employees for education.;;;;;;;;;;Doesn't Recommend
US640474907;morgan keegan & company inc.;morgan keegan;https://www.glassdoor.com/Reviews/Employee-Review-Morgan-Keegan-RVW1345682.htm;February 17, 2012;"""Good pay and thats all""";I worked at Morgan Keegan;Bonuses are good and the firm is growing;Poor growth and development opportunities;;;;;;;;;Approves of CEO;
